Tempo_Decorrido_em_Dias,Indice_de_Desperdicio,Preço_unidade,Numero_Incial_de_Lazies,Numero_Inicial_de_Normals,Numero_Incial_de_Renders,Tipo_de_Cliente,Tempo_Maximo_de_Espera,Tempo_de_Espera,Quantidade_Encomendada,Recebida
103.0,0.07,2.0,0,1,1,NORMAL,12000,7605,230,sim
106.0,0.07,2.0,0,1,1,NOPATIENT,31000,10729,798,sim
109.0,0.07,2.0,0,1,1,PATIENT,48000,14205,641,sim
113.0,0.07,2.0,0,1,1,NORMAL,42000,17527,811,sim
115.0,0.07,2.0,0,1,1,NORMAL,43000,19874,823,sim
115.0,0.07,2.0,0,1,1,NORMAL,46000,20228,883,sim
119.0,0.07,2.0,0,1,1,NORMAL,51000,23699,988,sim
130.0,0.07,2.0,0,1,1,NORMAL,45000,35215,875,sim
130.0,0.07,2.0,0,1,1,PATIENT,47000,35220,640,sim
137.0,0.07,2.0,0,1,1,NORMAL,8000,1892,149,sim
137.0,0.07,2.0,0,1,1,NORMAL,42000,42004,807,nao
139.0,0.07,2.0,0,1,1,NOPATIENT,7000,4039,164,sim
140.0,0.07,2.0,0,1,1,NOPATIENT,15000,4573,384,sim
142.0,0.07,2.0,0,1,1,NOPATIENT,20000,6635,528,sim
143.0,0.07,2.0,0,1,1,NORMAL,29000,7772,563,sim
144.0,0.07,2.0,0,1,1,NOPATIENT,9000,9003,219,nao
145.0,0.07,2.0,0,1,1,NOPATIENT,23000,9874,599,sim
146.0,0.07,2.0,0,1,1,PATIENT,19000,10608,246,sim
147.0,0.07,2.0,0,1,1,NORMAL,15000,11767,274,sim
147.0,0.07,2.0,0,1,1,PATIENT,54000,52236,730,sim
148.0,0.07,2.0,0,1,1,NOPATIENT,37000,12485,975,sim
148.0,0.07,2.0,0,1,1,NORMAL,29000,12558,551,sim
148.0,0.07,2.0,0,1,1,PATIENT,36000,13234,485,sim
149.0,0.07,2.0,0,1,1,NORMAL,14000,13850,258,sim
150.0,0.07,2.0,0,1,1,NORMAL,15000,15003,286,nao
151.0,0.07,2.0,0,1,1,PATIENT,26000,15612,347,sim
154.0,0.07,2.0,0,1,1,PATIENT,33000,18442,446,sim
155.0,0.07,2.0,0,1,1,PATIENT,25000,20275,339,sim
160.0,0.07,2.0,0,1,1,NORMAL,39000,24757,746,sim
178.0,0.07,2.0,0,1,1,NOPATIENT,7000,2534,178,sim
178.0,0.07,2.0,0,1,1,NOPATIENT,8000,2650,193,sim
178.0,0.07,2.0,0,1,1,NORMAL,50000,43277,971,sim
179.0,0.07,2.0,0,1,1,NOPATIENT,10000,3721,263,sim
181.0,0.07,2.0,0,1,1,NOPATIENT,17000,5956,436,sim
184.0,0.07,2.0,0,1,1,PATIENT,12000,8950,156,sim
186.0,0.07,2.0,0,1,1,NORMAL,26000,11160,491,sim
190.0,0.07,2.0,0,1,1,PATIENT,38000,15318,505,sim
194.0,0.07,2.0,0,1,1,NORMAL,43000,19309,822,sim
196.0,0.07,2.0,0,1,1,NORMAL,21000,21004,408,nao
199.0,0.07,2.0,0,1,1,NORMAL,24000,24004,466,nao
232.0,0.07,2.0,0,1,1,NOPATIENT,16000,16764,418,nao
3.0,0.07,2.0,2,1,1,NOPATIENT,5000,2356,112,sim
5.0,0.07,2.0,2,1,1,NORMAL,7000,4349,122,sim
13.0,0.07,2.0,2,1,1,NORMAL,28000,12854,533,sim
15.0,0.07,2.0,2,1,1,PATIENT,47000,15358,634,sim
19.0,0.07,2.0,2,1,1,NOPATIENT,39000,18369,1031,sim
19.0,0.07,2.0,2,1,1,PATIENT,12000,4114,155,sim
19.0,0.07,2.0,2,1,1,NOPATIENT,55000,19234,1451,sim
24.0,0.07,2.0,2,1,1,PATIENT,15000,9117,201,sim
24.0,0.07,2.0,2,1,1,NORMAL,19000,9157,371,sim
27.0,0.07,2.0,2,1,1,NORMAL,27000,27004,523,nao
28.0,0.07,2.0,2,1,1,NORMAL,33000,27377,645,sim
28.0,0.07,2.0,2,1,1,PATIENT,40000,13057,545,sim
30.0,0.07,2.0,2,1,1,NOPATIENT,86000,29853,2267,sim
33.0,0.07,2.0,2,1,1,NORMAL,38000,18115,738,sim
38.0,0.07,2.0,2,1,1,PATIENT,43000,23204,574,sim
42.0,0.07,2.0,2,1,1,NORMAL,54000,41394,1054,sim
44.0,0.07,2.0,2,1,1,NOPATIENT,71000,44240,1859,sim
45.0,0.07,2.0,2,1,1,NOPATIENT,49000,30106,1289,sim
47.0,0.07,2.0,2,1,1,PATIENT,99000,46891,1341,sim
50.0,0.07,2.0,2,1,1,NOPATIENT,57000,35188,1497,sim
53.0,0.07,2.0,2,1,1,NOPATIENT,65000,52882,1704,sim
56.0,0.07,2.0,2,1,1,PATIENT,87000,41082,1175,sim
57.0,0.07,2.0,2,1,1,PATIENT,84000,41423,1144,sim
57.0,0.07,2.0,2,1,1,NORMAL,6000,2252,105,sim
59.0,0.07,2.0,2,1,1,NOPATIENT,56000,44170,1468,sim
59.0,0.07,2.0,2,1,1,NORMAL,10000,4225,192,sim
64.0,0.07,2.0,2,1,1,PATIENT,56000,48585,763,sim
65.0,0.07,2.0,2,1,1,NORMAL,76000,64638,1478,sim
68.0,0.07,2.0,2,1,1,NORMAL,18000,12628,343,sim
69.0,0.07,2.0,2,1,1,NOPATIENT,34000,13653,877,sim
70.0,0.07,2.0,2,1,1,NOPATIENT,20000,14651,512,sim
71.0,0.07,2.0,2,1,1,PATIENT,147000,70732,2004,sim
71.0,0.07,2.0,2,1,1,NOPATIENT,71000,70636,1862,sim
75.0,0.07,2.0,2,1,1,PATIENT,191000,74690,2591,sim
78.0,0.07,2.0,2,1,1,PATIENT,132000,77646,1793,sim
80.0,0.07,2.0,2,1,1,PATIENT,51000,24656,685,sim
81.0,0.07,2.0,2,1,1,NOPATIENT,76000,65623,1999,sim
87.0,0.07,2.0,2,1,1,PATIENT,123000,86668,1665,sim
90.0,0.07,2.0,2,1,1,PATIENT,63000,34684,855,sim
93.0,0.07,2.0,2,1,1,NORMAL,54000,37674,1039,sim
95.0,0.07,2.0,2,1,1,PATIENT,76000,39679,1028,sim
101.0,0.07,2.0,2,1,1,NOPATIENT,92000,45698,2420,sim
110.0,0.07,2.0,2,1,1,NORMAL,28000,14601,535,sim
111.0,0.07,2.0,2,1,1,NORMAL,115000,95598,2236,sim
112.0,0.07,2.0,2,1,1,NORMAL,109000,56649,2120,sim
114.0,0.07,2.0,2,1,1,NORMAL,132000,113659,2574,sim
119.0,0.07,2.0,2,1,1,NORMAL,119000,119002,2311,nao
124.0,0.07,2.0,2,1,1,NOPATIENT,44000,28651,1139,sim
126.0,0.07,2.0,2,1,1,NORMAL,63000,30629,1229,sim
126.0,0.07,2.0,2,1,1,NOPATIENT,44000,30617,1158,sim
132.0,0.07,2.0,2,1,1,PATIENT,132000,132003,1788,nao
137.0,0.07,2.0,2,1,1,PATIENT,141000,81680,1911,sim
137.0,0.07,2.0,2,1,1,PATIENT,190000,136747,2578,sim
137.0,0.07,2.0,2,1,1,PATIENT,168000,136784,2280,sim
139.0,0.07,2.0,2,1,1,PATIENT,10000,3640,130,sim
142.0,0.07,2.0,2,1,1,PATIENT,140000,86645,1901,sim
144.0,0.07,2.0,2,1,1,NOPATIENT,73000,48699,1910,sim
145.0,0.07,2.0,2,1,1,PATIENT,153000,144709,2079,sim
147.0,0.07,2.0,2,1,1,NOPATIENT,33000,11674,872,sim
147.0,0.07,2.0,2,1,1,NOPATIENT,34000,11678,892,sim
152.0,0.07,2.0,2,1,1,PATIENT,44000,16662,600,sim
156.0,0.07,2.0,2,1,1,PATIENT,99000,60671,1343,sim
174.0,0.07,2.0,2,1,1,NOPATIENT,62000,38688,1623,sim
175.0,0.07,2.0,2,1,1,NOPATIENT,80000,39695,2105,sim
176.0,0.07,2.0,2,1,1,NOPATIENT,85000,40702,2226,sim
179.0,0.07,2.0,2,1,1,NOPATIENT,70000,44065,1851,sim
181.0,0.07,2.0,2,1,1,NORMAL,120000,85693,2345,sim
182.0,0.07,2.0,2,1,1,NORMAL,88000,86660,1712,sim
182.0,0.07,2.0,2,1,1,NOPATIENT,10000,7031,263,sim
184.0,0.07,2.0,2,1,1,NORMAL,102000,48676,1980,sim
185.0,0.07,2.0,2,1,1,NORMAL,22000,9736,412,sim
187.0,0.07,2.0,2,1,1,NOPATIENT,33000,11753,848,sim
189.0,0.07,2.0,2,1,1,NORMAL,55000,53677,1070,sim
190.0,0.07,2.0,2,1,1,NORMAL,120000,54708,2343,sim
191.0,0.07,2.0,2,1,1,PATIENT,164000,55709,2224,sim
191.0,0.07,2.0,2,1,1,NORMAL,58000,55698,1124,sim
192.0,0.07,2.0,2,1,1,PATIENT,173000,136756,2349,sim
197.0,0.07,2.0,2,1,1,NOPATIENT,29000,21765,764,sim
201.0,0.07,2.0,2,1,1,NOPATIENT,41000,26050,1076,sim
202.0,0.07,2.0,2,1,1,NOPATIENT,27000,26748,706,sim
202.0,0.07,2.0,2,1,1,NOPATIENT,32000,27054,837,sim
204.0,0.07,2.0,2,1,1,NOPATIENT,42000,28746,1091,sim
211.0,0.07,2.0,2,1,1,PATIENT,173000,75738,2349,sim
214.0,0.07,2.0,2,1,1,PATIENT,93000,38755,1261,sim
220.0,0.07,2.0,2,1,1,NOPATIENT,8000,5029,201,sim
221.0,0.07,2.0,2,1,1,PATIENT,94000,85740,1277,sim
222.0,0.07,2.0,2,1,1,PATIENT,162000,126740,2206,sim
227.0,0.07,2.0,2,1,1,NOPATIENT,87000,51792,2287,sim
229.0,0.07,2.0,2,1,1,NOPATIENT,22000,14045,561,sim
232.0,0.07,2.0,2,1,1,NOPATIENT,47000,16816,1238,sim
232.0,0.07,2.0,2,1,1,NOPATIENT,81000,56763,2120,sim
237.0,0.07,2.0,2,1,1,PATIENT,174000,141723,2362,sim
237.0,0.07,2.0,2,1,1,PATIENT,139000,61782,1893,sim
238.0,0.07,2.0,2,1,1,NORMAL,104000,102706,2022,sim
238.0,0.07,2.0,2,1,1,PATIENT,111000,62793,1513,sim
239.0,0.07,2.0,2,1,1,PATIENT,118000,64086,1602,sim
241.0,0.07,2.0,2,1,1,NORMAL,131000,105712,2545,sim
242.0,0.07,2.0,2,1,1,NORMAL,61000,27158,1189,sim
245.0,0.07,2.0,2,1,1,NORMAL,67000,30244,1299,sim
254.0,0.07,2.0,2,1,1,NOPATIENT,62000,38843,1622,sim
258.0,0.07,2.0,2,1,1,NOPATIENT,75000,42836,1969,sim
262.0,0.07,2.0,2,1,1,NORMAL,102000,46846,1993,sim
262.0,0.07,2.0,2,1,1,NORMAL,16000,7025,296,sim
264.0,0.07,2.0,2,1,1,PATIENT,135000,128792,1839,sim
265.0,0.07,2.0,2,1,1,NOPATIENT,16000,10039,413,sim
266.0,0.07,2.0,2,1,1,NORMAL,24000,10836,467,sim
4.0,0.07,1.5,0,3,1,NORMAL,10000,3463,179,sim
5.0,0.07,1.5,0,3,1,NOPATIENT,15000,4659,373,sim
7.0,0.07,1.5,0,3,1,NORMAL,7000,6639,135,sim
8.0,0.07,1.5,0,3,1,NOPATIENT,20000,7589,510,sim
11.0,0.07,1.5,0,3,1,NOPATIENT,30000,10337,770,sim
